year,state,state_po,incumbent_party,incumbent_candidate,challenger,Rerunning,incumbent2pv,PopV_Inc,PopV_Dem,democrat2pv,Cooks_PVI,d_unemployment,gallup_approv_jun,incumb,dem,College
1948,Pennsylvania,PA,Democrat,"Truman, Harry S","Dewey, Thomas E. ",0,0.479550102,0.5232558,0.5232558,0.479550102,,,40,1,1,
1948,Rhode Island,RI,Democrat,"Truman, Harry S","Dewey, Thomas E. ",0,0.581818182,0.5232558,0.5232558,0.581818182,,,40,1,1,
1948,South Carolina,SC,Democrat,"Truman, Harry S","Dewey, Thomas E. ",0,0.863799283,0.5232558,0.5232558,0.863799283,,,40,1,1,
1948,South Dakota,SD,Democrat,"Truman, Harry S","Dewey, Thomas E. ",0,0.475708502,0.5232558,0.5232558,0.475708502,,,40,1,1,
1948,Tennessee,TN,Democrat,"Truman, Harry S","Dewey, Thomas E. ",0,0.570930233,0.5232558,0.5232558,0.570930233,,,40,1,1,
1948,Texas,TX,Democrat,"Truman, Harry S","Dewey, Thomas E. ",0,0.726666667,0.5232558,0.5232558,0.726666667,,,40,1,1,
1948,Utah,UT,Democrat,"Truman, Harry S","Dewey, Thomas E. ",0,0.545454545,0.5232558,0.5232558,0.545454545,,,40,1,1,
1948,Vermont,VT,Democrat,"Truman, Harry S","Dewey, Thomas E. ",0,0.375,0.5232558,0.5232558,0.375,,,40,1,1,
1948,Virginia,VA,Democrat,"Truman, Harry S","Dewey, Thomas E. ",0,0.538807649,0.5232558,0.5232558,0.538807649,,,40,1,1,
1948,Washington,WA,Democrat,"Truman, Harry S","Dewey, Thomas E. ",0,0.551941238,0.5232558,0.5232558,0.551941238,,,40,1,1,
1948,West Virginia,WV,Democrat,"Truman, Harry S","Dewey, Thomas E. ",0,0.575879397,0.5232558,0.5232558,0.575879397,,,40,1,1,
1948,Wisconsin,WI,Democrat,"Truman, Harry S","Dewey, Thomas E. ",0,0.522680412,0.5232558,0.5232558,0.522680412,,,40,1,1,
1948,Wyoming,WY,Democrat,"Truman, Harry S","Dewey, Thomas E. ",0,0.52173913,0.5232558,0.5232558,0.52173913,,,40,1,1,
1952,Alabama,AL,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.648594378,0.4471299,0.4471299,0.648594378,,,32,0,0,
1952,Alaska,AK,,,,0,,,,,,,32,0,0,
1952,Arizona,AZ,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.417,0.4471299,0.4471299,0.417,,,32,0,0,
1952,Arkansas,AR,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.560682046,0.4471299,0.4471299,0.560682046,,,32,0,0,
1952,California,CA,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.431313131,0.4471299,0.4471299,0.431313131,,,32,0,0,
1952,Colorado,CO,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.392749245,0.4471299,0.4471299,0.392749245,,,32,0,0,
1952,Connecticut,CT,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.440763052,0.4471299,0.4471299,0.440763052,,,32,0,0,
1952,Delaware,DE,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.480441324,0.4471299,0.4471299,0.480441324,,,32,0,0,
1952,District of Columbia,DC,,,,0,,,,,,,32,0,0,
1952,Florida,FL,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.45,0.4471299,0.4471299,0.45,,,32,0,0,
1952,Georgia,GA,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.697,0.4471299,0.4471299,0.697,,,32,0,0,
1952,Hawaii,HI,,,,0,,,,,,,32,0,0,
1952,Idaho,ID,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.344689379,0.4471299,0.4471299,0.344689379,,,32,0,0,
1952,Illinois,IL,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.450351053,0.4471299,0.4471299,0.450351053,,,32,0,0,
1952,Indiana,IN,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.413723512,0.4471299,0.4471299,0.413723512,,,32,0,0,
1952,Iowa,IA,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.358148893,0.4471299,0.4471299,0.358148893,,,32,0,0,
1952,Kansas,KS,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.30715005,0.4471299,0.4471299,0.30715005,,,32,0,0,
1952,Kentucky,KY,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.500501505,0.4471299,0.4471299,0.500501505,,,32,0,0,
1952,Louisiana,LA,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.529,0.4471299,0.4471299,0.529,,,32,0,0,
1952,Maine,ME,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.338677355,0.4471299,0.4471299,0.338677355,,,32,0,0,
1952,Maryland,MD,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.441532258,0.4471299,0.4471299,0.441532258,,,32,0,0,
1952,Massachusetts,MA,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.456369107,0.4471299,0.4471299,0.456369107,,,32,0,0,
1952,Michigan,MI,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.442655936,0.4471299,0.4471299,0.442655936,,,32,0,0,
1952,Minnesota,MN,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.443661972,0.4471299,0.4471299,0.443661972,,,32,0,0,
1952,Mississippi,MS,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.604,0.4471299,0.4471299,0.604,,,32,0,0,
1952,Missouri,MO,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.491983968,0.4471299,0.4471299,0.491983968,,,32,0,0,
1952,Montana,MT,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.403015075,0.4471299,0.4471299,0.403015075,,,32,0,0,
1952,Nebraska,NE,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.308,0.4471299,0.4471299,0.308,,,32,0,0,
1952,Nevada,NV,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.386,0.4471299,0.4471299,0.386,,,32,0,0,
1952,New Hampshire,NH,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.391,0.4471299,0.4471299,0.391,,,32,0,0,
1952,New Jersey,NJ,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.425101215,0.4471299,0.4471299,0.425101215,,,32,0,0,
1952,New Mexico,NM,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.444332999,0.4471299,0.4471299,0.444332999,,,32,0,0,
1952,New York,NY,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.439959637,0.4471299,0.4471299,0.439959637,,,32,0,0,
1952,North Carolina,NC,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.539,0.4471299,0.4471299,0.539,,,32,0,0,
1952,North Dakota,ND,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.285714286,0.4471299,0.4471299,0.285714286,,,32,0,0,
1952,Ohio,OH,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.432,0.4471299,0.4471299,0.432,,,32,0,0,
1952,Oklahoma,OK,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.454,0.4471299,0.4471299,0.454,,,32,0,0,
1952,Oregon,OR,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.391348089,0.4471299,0.4471299,0.391348089,,,32,0,0,
1952,Pennsylvania,PA,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.470883534,0.4471299,0.4471299,0.470883534,,,32,0,0,
1952,Rhode Island,RI,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.49049049,0.4471299,0.4471299,0.49049049,,,32,0,0,
1952,South Carolina,SC,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.945895522,0.4471299,0.4471299,0.945895522,,,32,0,0,
1952,South Dakota,SD,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.307,0.4471299,0.4471299,0.307,,,32,0,0,
1952,Tennessee,TN,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.498495486,0.4471299,0.4471299,0.498495486,,,32,0,0,
1952,Texas,TX,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.467935872,0.4471299,0.4471299,0.467935872,,,32,0,0,
1952,Utah,UT,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.411,0.4471299,0.4471299,0.411,,,32,0,0,
1952,Vermont,VT,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.282848546,0.4471299,0.4471299,0.282848546,,,32,0,0,
1952,Virginia,VA,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.435305918,0.4471299,0.4471299,0.435305918,,,32,0,0,
1952,Washington,WA,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.451515152,0.4471299,0.4471299,0.451515152,,,32,0,0,
1952,West Virginia,WV,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.519,0.4471299,0.4471299,0.519,,,32,0,0,
1952,Wisconsin,WI,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.388164493,0.4471299,0.4471299,0.388164493,,,32,0,0,
1952,Wyoming,WY,Democrat,"Stevenson, Adlai","Eisenhower, Dwight D. ",0,0.371743487,0.4471299,0.4471299,0.371743487,,,32,0,0,
1956,Alabama,AL,Republican,"Eisenhower, Dwight D. ","Stevenson, Adlai",1,0.41084463,0.577464789,0.4225352,0.58915537,-0.160895661,,73,1,0,
1956,Alaska,AK,,,,1,,,,,0,,73,1,0,
1956,Arizona,AZ,Republican,"Eisenhower, Dwight D. ","Stevenson, Adlai",1,0.610610611,0.577464789,0.4225352,0.389389389,-0.001078096,,73,1,0,
1956,Arkansas,AR,Republican,"Eisenhower, Dwight D. ","Stevenson, Adlai",1,0.465920651,0.577464789,0.4225352,0.534079349,0.16818324,,73,1,0,
1956,California,CA,Republican,"Eisenhower, Dwight D. ","Stevenson, Adlai",1,0.555667001,0.577464789,0.4225352,0.444332999,-0.018216327,,73,1,0,
1956,Colorado,CO,Republican,"Eisenhower, Dwight D. ","Stevenson, Adlai",1,0.604229607,0.577464789,0.4225352,0.395770393,-0.025098715,,73,1,0,
1956,Connecticut,CT,Republican,"Eisenhower, Dwight D. ","Stevenson, Adlai",1,0.637,0.577464789,0.4225352,0.363,-0.0189181,,73,1,0,
1956,Delaware,DE,Republican,"Eisenhower, Dwight D. ","Stevenson, Adlai",1,0.552657974,0.577464789,0.4225352,0.447342026,0.001991375,,73,1,0,
1956,District of Columbia,DC,,,,1,,,,,0,,73,1,0,
1956,Florida,FL,Republican,"Eisenhower, Dwight D. ","Stevenson, Adlai",1,0.572572573,0.577464789,0.4225352,0.427427427,0.035923655,,73,1,0,
1956,Georgia,GA,Republican,"Eisenhower, Dwight D. ","Stevenson, Adlai",1,0.334002006,0.577464789,0.4225352,0.665997994,0.247630791,,73,1,0,
1956,Hawaii,HI,Republican,"Eisenhower, Dwight D. ","Stevenson, Adlai",1,,0.577464789,0.4225352,,0,,73,1,0,
1956,Idaho,ID,Republican,"Eisenhower, Dwight D. ","Stevenson, Adlai",1,0.612,0.577464789,0.4225352,0.388,-0.055910853,,73,1,0,
1956,Illinois,IL,Republican,"Eisenhower, Dwight D. ","Stevenson, Adlai",1,0.596192385,0.577464789,0.4225352,0.403807615,-0.007751462,,73,1,0,
1956,Indiana,IN,Republican,"Eisenhower, Dwight D. ","Stevenson, Adlai",1,0.601405622,0.577464789,0.4225352,0.398594378,-0.030363615,,73,1,0,
1956,Iowa,IA,Republican,"Eisenhower, Dwight D. ","Stevenson, Adlai",1,0.592184369,0.577464789,0.4225352,0.407815631,-0.049223613,,73,1,0,
1956,Kansas,KS,Republican,"Eisenhower, Dwight D. ","Stevenson, Adlai",1,0.656626506,0.577464789,0.4225352,0.343373494,-0.104530248,,73,1,0,
1956,Kentucky,KY,Republican,"Eisenhower, Dwight D. ","Stevenson, Adlai",1,0.545728643,0.577464789,0.4225352,0.454271357,0.05375444,,73,1,0,
1956,Louisiana,LA,Republican,"Eisenhower, Dwight D. ","Stevenson, Adlai",1,0.574353448,0.577464789,0.4225352,0.425646552,0.105004361,,73,1,0,
1956,Maine,ME,Republican,"Eisenhower, Dwight D. ","Stevenson, Adlai",1,0.709,0.577464789,0.4225352,0.291,-0.102217809,,73,1,0,
1956,Maryland,MD,Republican,"Eisenhower, Dwight D. ","Stevenson, Adlai",1,0.600600601,0.577464789,0.4225352,0.399399399,-0.01802015,,73,1,0,
1956,Massachusetts,MA,Republican,"Eisenhower, Dwight D. ","Stevenson, Adlai",1,0.594784353,0.577464789,0.4225352,0.405215647,0.022358404,,73,1,0,
1956,Michigan,MI,Republican,"Eisenhower, Dwight D. ","Stevenson, Adlai",1,0.557673019,0.577464789,0.4225352,0.442326981,-0.017997114,,73,1,0,
1956,Minnesota,MN,Republican,"Eisenhower, Dwight D. ","Stevenson, Adlai",1,0.538076152,0.577464789,0.4225352,0.461923848,0.031179845,,73,1,0,
1956,Mississippi,MS,Republican,"Eisenhower, Dwight D. ","Stevenson, Adlai",1,0.296251511,0.577464789,0.4225352,0.703748489,0.214444945,,73,1,0,
1956,Missouri,MO,Republican,"Eisenhower, Dwight D. ","Stevenson, Adlai",1,0.499,0.577464789,0.4225352,0.501,0.052465801,,73,1,0,
1956,Montana,MT,Republican,"Eisenhower, Dwight D. ","Stevenson, Adlai",1,0.571,0.577464789,0.4225352,0.429,-0.007697786,,73,1,0,
1956,Nebraska,NE,Republican,"Eisenhower, Dwight D. ","Stevenson, Adlai",1,0.655,0.577464789,0.4225352,0.345,-0.10219285,,73,1,0,
